ID,UserFK,Score,Timestamp,DateTime
2,26,1468,"2019-06-26 19:36:37","2019-06-26 19:36:37"
3,26,713,"2019-06-26 19:50:11","2019-06-26 19:50:11"
4,26,1137,"2019-06-26 19:55:55","2019-06-26 19:55:55"
5,26,1499,"2019-06-26 20:10:22","2019-06-26 20:10:22"
6,26,1484,"2019-06-26 20:15:56","2019-06-26 20:15:56"
7,25,295,"2019-06-27 02:28:06","2019-06-27 02:28:06"
8,26,1238,"2019-06-27 15:03:55","2019-06-27 15:03:55"
9,26,972,"2019-06-28 03:06:47","2019-06-28 03:06:47"
10,26,1692,"2019-07-01 18:00:43","2019-07-01 18:00:43"
11,26,1558,"2019-07-01 18:04:11","2019-07-01 18:04:11"
12,26,1455,"2019-07-01 18:13:16","2019-07-01 18:13:16"
13,26,1402,"2019-07-01 18:17:13","2019-07-01 18:17:13"
14,26,1467,"2019-07-01 18:32:24","2019-07-01 18:32:24"
15,26,1507,"2019-07-01 18:39:14","2019-07-01 18:39:14"
16,26,1631,"2019-07-01 18:42:37","2019-07-01 18:42:37"
17,26,1591,"2019-07-01 20:43:35","2019-07-01 20:43:35"
30,25,277,"2019-07-06 10:12:34","2019-07-06 10:12:34"
31,26,1233,"2019-07-07 11:35:21","2019-07-07 11:35:21"
32,26,1235,"2019-07-07 11:40:36","2019-07-07 11:40:36"
33,26,1288,"2019-07-07 11:46:20","2019-07-07 11:46:20"
34,26,0,"2019-07-08 01:30:38","2019-07-08 01:30:38"
35,37,1014,"2019-07-08 20:07:28","2019-07-08 20:07:28"
36,37,1379,"2019-07-08 20:13:23","2019-07-08 20:13:23"
39,26,1419,"2019-07-12 19:50:38","2019-07-12 19:50:38"
40,26,1623,"2019-07-12 19:56:44","2019-07-12 19:56:44"
41,25,54,"2019-07-12 21:37:55","2019-07-12 21:37:55"
44,25,294,"2019-07-13 02:57:25","2019-07-13 02:57:25"
46,25,23,"2019-07-13 03:06:52","2019-07-13 03:06:52"
47,26,937,"2019-07-13 14:29:48","2019-07-13 14:29:48"
48,26,1089,"2019-07-13 15:03:59","2019-07-13 15:03:59"
49,26,1050,"2019-07-15 17:52:07","2019-07-15 17:52:07"
50,26,1613,"2019-07-15 17:56:20","2019-07-15 17:56:20"
51,26,644,"2019-07-15 23:45:38","2019-07-15 23:45:38"
52,2166,869,"2019-07-26 19:00:52","2019-07-26 19:00:52"
53,26,1703,"2019-07-29 15:08:52","2019-07-29 15:08:52"
54,2066,920,"2019-07-29 16:08:10","2019-07-29 16:08:10"
55,2066,1192,"2019-07-29 16:12:57","2019-07-29 16:12:57"
56,831,1386,"2019-08-01 13:23:48","2019-08-01 13:23:48"
57,831,1187,"2019-08-01 13:27:53","2019-08-01 13:27:53"
58,831,1413,"2019-08-01 13:32:19","2019-08-01 13:32:19"
59,2145,647,"2019-08-08 14:00:24","2019-08-08 14:00:24"
60,2145,454,"2019-08-08 19:13:01","2019-08-08 19:13:01"
61,2066,924,"2019-08-15 22:51:20","2019-08-15 22:51:20"
62,26,1451,"2019-08-21 13:10:42","2019-08-21 13:10:42"
63,2268,1088,"2019-08-22 16:26:56","2019-08-22 16:26:56"
73,25,1476,"2019-08-26 06:18:48","2019-08-26 06:18:48"
74,25,17,"2019-08-26 19:36:57","2019-08-26 19:36:57"
75,1796,1238,"2019-08-30 17:33:42","2019-08-30 17:33:42"
76,1796,1527,"2019-08-30 17:47:11","2019-08-30 17:47:11"
77,52,798,"2019-09-01 16:51:26","2019-09-01 16:51:26"
78,52,655,"2019-09-01 16:58:02","2019-09-01 16:58:02"
79,52,906,"2019-09-01 17:03:31","2019-09-01 17:03:31"
80,2046,909,"2019-10-02 15:56:14","2019-10-02 15:56:14"
81,2046,1177,"2019-10-02 16:00:29","2019-10-02 16:00:29"
82,2046,1387,"2019-10-02 16:05:33","2019-10-02 16:05:33"
83,26,1733,"2020-01-29 14:48:27","2020-01-29 14:48:27"
84,2532,1080,"2020-02-13 19:43:10","2020-02-13 19:43:10"
85,25,9,"2020-02-23 21:02:49","2020-02-23 21:02:49"
86,26,1010,"2020-02-27 16:01:14","2020-02-27 16:01:14"
