ID,ArthropodSightingFK,OriginalGroup,SuggestedGroups,SupportingIdentifications,DisputingIdentifications,ExpertIdentification,INaturalistObservationURL,LastUpdated
1,74338,leafhopper,truebugs,0,1,,https://www.inaturalist.org/observations/34754384,"2021-08-09 06:12:18"
2,74196,grasshopper,truebugs,0,3,truebugs,https://www.inaturalist.org/observations/33992925,"2021-08-09 06:15:16"
3,73747,grasshopper,truebugs,0,3,truebugs,https://www.inaturalist.org/observations/33328178,"2021-08-09 06:18:16"
4,73516,caterpillar,beetle,0,5,beetle,https://www.inaturalist.org/observations/32914719,"2021-08-09 06:18:16"
5,73521,beetle,truebugs,0,3,truebugs,https://www.inaturalist.org/observations/32891626,"2021-08-09 06:18:16"
6,73392,beetle,truebugs,0,3,truebugs,https://www.inaturalist.org/observations/32835053,"2021-08-09 06:21:13"
7,73183,beetle,leafhopper,0,1,,https://www.inaturalist.org/observations/32424665,"2021-08-09 06:21:13"
8,73112,fly,Neuroptera,0,3,Neuroptera,https://www.inaturalist.org/observations/32172150,"2021-08-09 06:21:13"
9,73066,leafhopper,Neuroptera,0,2,Neuroptera,https://www.inaturalist.org/observations/32077799,"2021-08-09 06:24:11"
10,72914,leafhopper,moths,0,4,moths,https://www.inaturalist.org/observations/31790153,"2021-08-09 06:24:11"
11,72498,truebugs,Blattodea,0,1,,https://www.inaturalist.org/observations/31454799,"2021-08-09 06:30:22"
12,72477,truebugs,beetle,0,3,beetle,https://www.inaturalist.org/observations/31454292,"2021-08-09 06:30:22"
13,72396,beetle,truebugs,0,4,truebugs,https://www.inaturalist.org/observations/30898016,"2021-08-09 06:30:22"
14,72219,caterpillar,"bee (sawfly)",0,3,"bee (sawfly)",https://www.inaturalist.org/observations/30714319,"2021-08-09 06:33:18"
15,71333,spider,moths,0,2,moths,https://www.inaturalist.org/observations/29934607,"2021-08-09 06:39:11"
16,71282,beetle,"truebugs, leafhopper",0,3,truebugs,https://www.inaturalist.org/observations/29926049,"2021-08-09 06:39:11"
17,71277,beetle,truebugs,0,3,truebugs,https://www.inaturalist.org/observations/29925156,"2021-08-09 06:39:11"
18,71264,beetle,truebugs,0,3,truebugs,https://www.inaturalist.org/observations/29923196,"2021-08-09 06:39:11"
19,71255,grasshopper,leafhopper,0,4,leafhopper,https://www.inaturalist.org/observations/29922659,"2021-08-09 06:39:11"
20,71252,grasshopper,leafhopper,0,4,leafhopper,https://www.inaturalist.org/observations/29922481,"2021-08-09 06:39:11"
21,71243,beetle,truebugs,0,3,truebugs,https://www.inaturalist.org/observations/29922090,"2021-08-09 06:39:11"
22,71166,grasshopper,truebugs,0,3,truebugs,https://www.inaturalist.org/observations/29917036,"2021-08-09 06:42:19"
23,71116,fly,Psocodea,0,3,Psocodea,https://www.inaturalist.org/observations/29911358,"2021-08-09 06:42:19"
24,71093,caterpillar,"bee (sawfly)",0,2,"bee (sawfly)",https://www.inaturalist.org/observations/29852955,"2021-08-09 06:42:19"
25,70823,bee,"bee (sawfly)",0,2,"bee (sawfly)",https://www.inaturalist.org/observations/29588984,"2021-08-09 06:42:19"
26,70119,beetle,truebugs,0,3,truebugs,https://www.inaturalist.org/observations/29451100,"2021-08-09 06:48:15"
27,69521,beetle,truebugs,0,4,truebugs,https://www.inaturalist.org/observations/29159197,"2021-08-09 06:51:12"
28,69409,caterpillar,"bee (sawfly)",0,4,"bee (sawfly)",https://www.inaturalist.org/observations/29157808,"2021-08-09 06:51:12"
29,69269,caterpillar,"bee (sawfly)",1,1,moths,https://www.inaturalist.org/observations/29156166,"2021-08-09 06:54:20"
30,69155,caterpillar,"bee (sawfly)",0,4,"bee (sawfly)",https://www.inaturalist.org/observations/29154601,"2021-08-09 06:54:20"
31,68076,grasshopper,truebugs,0,3,truebugs,https://www.inaturalist.org/observations/28843674,"2021-08-09 07:00:13"
32,67429,truebugs,beetle,0,5,beetle,https://www.inaturalist.org/observations/28587475,"2021-08-09 07:06:20"
33,67427,caterpillar,spider,0,2,spider,https://www.inaturalist.org/observations/28587373,"2021-08-09 07:06:20"
34,67053,beetle,truebugs,0,4,truebugs,https://www.inaturalist.org/observations/28518416,"2021-08-09 07:06:20"
35,66475,fly,beetle,0,3,beetle,https://www.inaturalist.org/observations/28441407,"2021-08-09 07:12:09"
36,66425,fly,Trichoptera,0,4,Trichoptera,https://www.inaturalist.org/observations/28438132,"2021-08-09 07:12:09"
37,66163,moths,Trichoptera,0,4,Trichoptera,https://www.inaturalist.org/observations/28240259,"2021-08-09 07:12:09"
38,66160,beetle,truebugs,0,3,truebugs,https://www.inaturalist.org/observations/28239808,"2021-08-09 07:12:09"
39,65834,caterpillar,"bee (sawfly)",0,1,,https://www.inaturalist.org/observations/28120783,"2021-08-09 07:15:18"
40,65749,leafhopper,grasshopper,0,4,grasshopper,https://www.inaturalist.org/observations/28118666,"2021-08-09 07:18:20"
41,65495,moths,Trichoptera,0,3,Trichoptera,https://www.inaturalist.org/observations/28073765,"2021-08-09 07:18:20"
42,65487,beetle,truebugs,0,3,truebugs,https://www.inaturalist.org/observations/28067710,"2021-08-09 07:21:19"
43,64837,leafhopper,beetle,0,3,beetle,https://www.inaturalist.org/observations/27826716,"2021-08-09 07:24:10"
44,64445,leafhopper,beetle,0,4,beetle,https://www.inaturalist.org/observations/27771219,"2021-08-09 07:30:19"
45,64253,caterpillar,"bee (sawfly)",0,2,"bee (sawfly)",https://www.inaturalist.org/observations/27755596,"2021-08-09 07:30:19"
46,64245,leafhopper,grasshopper,0,4,grasshopper,https://www.inaturalist.org/observations/27755088,"2021-08-09 07:30:19"
47,64057,truebugs,grasshopper,0,2,grasshopper,https://www.inaturalist.org/observations/27711827,"2021-08-09 07:33:16"
48,64043,truebugs,grasshopper,0,2,grasshopper,https://www.inaturalist.org/observations/27710456,"2021-08-09 07:33:16"
49,63896,caterpillar,"bee (sawfly)",0,1,,https://www.inaturalist.org/observations/27697174,"2021-08-09 07:36:12"
50,63528,beetle,truebugs,0,3,truebugs,https://www.inaturalist.org/observations/27647130,"2021-08-09 07:36:12"
51,63523,fly,Ephemeroptera,0,3,Ephemeroptera,https://www.inaturalist.org/observations/27646762,"2021-08-09 07:36:12"
52,63507,beetle,truebugs,0,1,,https://www.inaturalist.org/observations/27644543,"2021-08-09 07:36:12"
53,63327,caterpillar,"bee (sawfly)",0,3,"bee (sawfly)",https://www.inaturalist.org/observations/27634821,"2021-08-09 07:39:11"
54,63242,caterpillar,"bee (sawfly)",0,3,"bee (sawfly)",https://www.inaturalist.org/observations/27631100,"2021-08-09 07:39:11"
55,63241,caterpillar,"bee (sawfly)",0,3,"bee (sawfly)",https://www.inaturalist.org/observations/27630921,"2021-08-09 07:39:11"
56,63005,truebugs,grasshopper,0,3,grasshopper,https://www.inaturalist.org/observations/27565442,"2021-08-09 07:42:17"
57,62775,truebugs,leafhopper,0,1,,https://www.inaturalist.org/observations/27390026,"2021-08-09 07:42:17"
58,62209,caterpillar,"bee (sawfly)",0,2,"bee (sawfly)",https://www.inaturalist.org/observations/27288270,"2021-08-09 07:48:19"
59,62067,fly,Odonata,0,4,Odonata,https://www.inaturalist.org/observations/27270858,"2021-08-09 07:51:12"
60,61714,bee,fly,0,5,fly,https://www.inaturalist.org/observations/27224624,"2021-08-09 07:54:17"
61,61684,caterpillar,"bee (sawfly)",0,4,"bee (sawfly)",https://www.inaturalist.org/observations/27222484,"2021-08-09 07:54:17"
62,61151,spider,daddylonglegs,0,4,daddylonglegs,https://www.inaturalist.org/observations/27159387,"2021-08-09 07:57:10"
63,61126,truebugs,leafhopper,0,3,leafhopper,https://www.inaturalist.org/observations/27159224,"2021-08-09 07:57:10"
