"UserFKOfObserver","nSurveys","pubID"
26,1061,1
37,196,1
38,2,1
495,895,1
941,849,1
942,1483,1
943,1416,1
945,46,1
946,78,1
947,1366,1
948,2,1
949,1,1
951,1,1
952,1,1
953,1,1
954,1,1
955,886,1
956,463,1
26,279,2
37,81,2
56,116,2
66,70,2
67,59,2
81,41,2
85,522,2
461,59,2
696,20,2
831,10,2
832,20,2
834,30,2
838,56,2
851,89,2
862,38,2
863,50,2
864,228,2
868,30,2
920,20,2
944,6,2
1281,26,2
1295,112,2
1299,210,2
1309,75,2
1318,114,2
1337,14,2
1341,85,2
1571,50,2
1574,2,2
1796,60,2
1944,121,2
1958,114,2
1990,10,2
2020,241,2
2023,471,2
2024,465,2
2040,18,2
2045,10,2
2051,27,2
2052,5,2
2066,24,2
2073,58,2
2076,239,2
2087,39,2
2094,4,2
2095,4,2
2098,5,2
2107,20,2
2109,20,2
2115,10,2
2116,10,2
2117,17,2
2119,14,2
2124,20,2
2128,7,2
2131,20,2
2136,4,2
2137,4,2
2138,4,2
2139,7,2
2140,5,2
2141,1,2
2142,2,2
2143,2,2
2149,6,2
2150,6,2
2151,2,2
2152,1,2
2153,3,2
2154,4,2
2158,14,2
2160,2,2
2163,3,2
2168,12,2
2169,1,2
2170,34,2
2172,10,2
2173,10,2
2175,15,2
2176,12,2
2177,18,2
2178,4,2
2179,20,2
2180,33,2
2181,8,2
2182,26,2
2183,24,2
2184,13,2
2185,9,2
2186,20,2
2187,15,2
2190,8,2
2193,14,2
2195,5,2
2196,3,2
2197,10,2
2202,3,2
2207,60,2
26,2959,3
36,1,3
37,1521,3
38,2,3
56,260,3
67,114,3
80,30,3
85,2093,3
88,5,3
91,1,3
93,1,3
94,5,3
95,1,3
96,1,3
98,1,3
100,1,3
103,3,3
105,2,3
107,1,3
109,7,3
110,1,3
111,1,3
113,1,3
116,1,3
120,1,3
122,5,3
123,3,3
125,5,3
128,1,3
129,2,3
130,2,3
133,1,3
134,1,3
137,1,3
142,1,3
143,1,3
145,2,3
146,1,3
147,1,3
151,3,3
153,1,3
155,1,3
158,1,3
161,1,3
163,2,3
165,1,3
166,1,3
169,3,3
170,1,3
172,1,3
173,1,3
175,1,3
177,5,3
179,4,3
183,1,3
184,2,3
185,1,3
187,2,3
188,4,3
189,5,3
192,4,3
194,4,3
195,3,3
196,1,3
199,1,3
204,8,3
206,1,3
210,1,3
212,1,3
213,7,3
216,1,3
217,1,3
220,2,3
221,13,3
222,1,3
225,2,3
227,1,3
228,1,3
230,1,3
232,3,3
233,2,3
234,1,3
236,1,3
237,1,3
238,1,3
240,1,3
241,3,3
242,1,3
246,2,3
247,1,3
248,2,3
249,1,3
250,3,3
252,1,3
253,1,3
256,1,3
259,1,3
260,3,3
262,1,3
264,2,3
266,1,3
267,1,3
268,1,3
269,1,3
270,1,3
271,1,3
273,1,3
277,1,3
278,1,3
279,2,3
281,1,3
283,1,3
284,1,3
291,1,3
293,1,3
299,1,3
300,1,3
302,2,3
306,5,3
307,1,3
309,2,3
310,2,3
312,2,3
313,2,3
314,1,3
322,1,3
324,2,3
328,1,3
330,1,3
331,3,3
333,1,3
334,2,3
335,1,3
336,1,3
339,1,3
340,1,3
342,2,3
343,1,3
344,1,3
347,1,3
350,3,3
351,2,3
354,1,3
356,2,3
358,1,3
359,1,3
361,1,3
362,1,3
364,1,3
366,1,3
370,5,3
371,2,3
374,1,3
376,1,3
377,1,3
379,1,3
381,4,3
386,1,3
388,1,3
389,3,3
390,3,3
391,2,3
397,5,3
398,1,3
401,2,3
405,5,3
406,5,3
407,2,3
409,1,3
411,3,3
413,5,3
415,2,3
416,3,3
417,5,3
418,1,3
421,1,3
423,1,3
424,1,3
425,1,3
427,1,3
432,1,3
433,1,3
434,2,3
437,1,3
438,1,3
439,1,3
441,2,3
443,1,3
449,3,3
451,1,3
455,1,3
461,364,3
462,1,3
466,1,3
472,1,3
476,1,3
478,1,3
480,1,3
484,5,3
490,1,3
492,1,3
495,900,3
504,2,3
505,2,3
512,1,3
513,1,3
514,1,3
515,1,3
516,1,3
518,1,3
521,1,3
524,1,3
525,1,3
526,1,3
527,1,3
540,1,3
542,1,3
544,1,3
547,1,3
551,1,3
554,1,3
564,1,3
567,1,3
568,1,3
570,1,3
575,1,3
585,1,3
590,1,3
592,1,3
602,1,3
603,1,3
609,1,3
611,1,3
613,1,3
622,1,3
623,1,3
624,1,3
625,1,3
626,1,3
630,1,3
631,1,3
632,1,3
637,1,3
639,1,3
640,1,3
644,1,3
645,1,3
646,1,3
652,1,3
653,1,3
658,1,3
659,2,3
660,1,3
663,2,3
664,1,3
668,1,3
669,1,3
670,178,3
673,1,3
674,1,3
677,2,3
678,2,3
680,1,3
681,2,3
682,1,3
683,1,3
684,1,3
685,1,3
689,1,3
690,1,3
691,4,3
693,1,3
694,1,3
697,1,3
700,1,3
701,7,3
702,1,3
703,1,3
704,2,3
706,2,3
710,5,3
711,1,3
712,1,3
713,2,3
714,2,3
715,1,3
716,2,3
717,1,3
718,1,3
720,1,3
721,2,3
724,1,3
725,3,3
726,2,3
727,2,3
728,1,3
729,5,3
730,1,3
731,3,3
736,3,3
737,1,3
738,6,3
741,4,3
742,2,3
743,2,3
744,2,3
747,1,3
748,1,3
750,1,3
751,5,3
754,1,3
755,1,3
756,2,3
758,1,3
759,1,3
761,5,3
764,1,3
765,1,3
767,1,3
768,1,3
769,3,3
771,5,3
775,2,3
776,3,3
777,1,3
779,1,3
780,3,3
781,1,3
782,5,3
783,1,3
784,1,3
785,1,3
786,1,3
789,1,3
790,418,3
791,1,3
792,2,3
794,1,3
795,1,3
797,1,3
798,1,3
799,1,3
801,4,3
802,1,3
803,5,3
804,1,3
805,5,3
806,1,3
809,3,3
812,1,3
819,1280,3
820,1312,3
821,1155,3
824,363,3
830,442,3
831,10,3
832,174,3
833,20,3
834,156,3
838,89,3
839,90,3
850,39,3
851,346,3
852,48,3
862,97,3
863,233,3
864,848,3
866,59,3
867,32,3
868,169,3
869,50,3
870,350,3
882,103,3
883,134,3
887,59,3
890,2,3
893,2,3
894,2,3
895,1,3
896,4,3
897,2,3
898,2,3
899,2,3
901,1,3
902,3,3
903,1,3
910,1,3
914,91,3
915,8,3
916,2,3
917,13,3
918,5,3
922,3,3
940,13,3
941,849,3
942,1483,3
943,1448,3
945,49,3
946,78,3
947,1419,3
948,2,3
949,1,3
951,1,3
952,1,3
953,1,3
954,1,3
955,886,3
956,463,3
959,35,3
962,551,3
963,774,3
964,397,3
965,2,3
966,1,3
967,1,3
968,7,3
969,6,3
1295,344,3
1316,1,3
1339,1,3
1340,1,3
1341,141,3
1344,1,3
1352,5,3
1353,2,3
1354,1,3
1355,2,3
1357,2,3
1358,1,3
1359,2,3
1360,4,3
1361,1,3
1362,1,3
1363,2,3
1365,1,3
1366,1,3
1367,1,3
1368,1,3
1369,1,3
1370,1,3
1373,1,3
1374,1,3
1375,1,3
1376,1,3
1378,2,3
1381,3,3
1382,2,3
1383,1,3
1385,1,3
1386,1,3
1387,4,3
1390,1,3
1396,1,3
1399,2,3
1400,4,3
1401,1,3
1402,1,3
1403,1,3
1404,2,3
1405,5,3
1406,5,3
1407,2,3
1408,1,3
1410,3,3
1412,2,3
1413,1,3
1414,1,3
1415,1,3
1416,1,3
1417,1,3
1418,1,3
1419,1,3
1420,5,3
1421,1,3
1422,1,3
1426,5,3
1427,1,3
1428,1,3
1429,2,3
1431,1,3
1434,1,3
1436,1,3
1437,1,3
1438,1,3
1440,5,3
1442,1,3
1445,2,3
1446,2,3
1448,5,3
1449,3,3
1451,1,3
1455,1,3
1456,5,3
1457,5,3
1458,1,3
1460,2,3
1464,1,3
1465,1,3
1467,5,3
1469,1,3
1470,4,3
1471,2,3
1475,1,3
1476,1,3
1477,1,3
1481,2,3
1483,1,3
1484,1,3
1485,1,3
1487,2,3
1489,1,3
1490,1,3
1492,1,3
1493,1,3
1494,1,3
1495,1,3
1497,1,3
1499,5,3
1500,1,3
1502,5,3
1503,1,3
1505,1,3
1506,1,3
1509,1,3
1510,5,3
1513,3,3
1514,2,3
1517,1,3
1519,1,3
1520,1,3
1521,2,3
1523,1,3
1525,2,3
1526,1,3
1527,1,3
1529,2,3
1530,5,3
1531,5,3
1533,1,3
1535,1,3
1537,5,3
1538,1,3
1540,1,3
1541,3,3
1544,2,3
1545,1,3
1547,1,3
1548,2,3
1549,1,3
1550,1,3
1552,5,3
1554,3,3
1555,2,3
1556,4,3
1558,1,3
1560,1,3
1561,5,3
1566,5,3
1568,5,3
1569,1,3
1571,250,3
1574,10,3
1575,1,3
1576,1,3
1578,2,3
1579,3,3
1580,1,3
1581,5,3
1582,1,3
1585,4,3
1587,2,3
1588,2,3
1589,2,3
1590,2,3
1591,5,3
1592,1,3
1593,1,3
1596,2,3
1597,5,3
1598,1,3
1600,2,3
1601,1,3
1602,2,3
1603,1,3
1607,1,3
1608,2,3
1609,1,3
1612,1,3
1613,3,3
1616,1,3
1617,1,3
1618,5,3
1619,1,3
1620,1,3
1621,1,3
1622,2,3
1623,3,3
1624,5,3
1626,1,3
1627,1,3
1628,1,3
1629,5,3
1630,1,3
1631,1,3
1632,3,3
1633,6,3
1634,1,3
1635,1,3
1636,1,3
1638,1,3
1639,2,3
1640,2,3
1641,2,3
1643,1,3
1645,1,3
1646,1,3
1647,3,3
1650,4,3
1651,1,3
1652,1,3
1653,4,3
1654,2,3
1655,1,3
1656,2,3
1657,2,3
1658,1,3
1659,5,3
1661,5,3
1662,1,3
1664,5,3
1667,5,3
1669,1,3
1670,1,3
1671,5,3
1708,1,3
1711,1,3
1712,1,3
1716,1,3
1718,1,3
1721,1,3
1723,1,3
1725,1,3
1727,1,3
1732,1,3
1733,1,3
1739,1,3
1741,1,3
1743,1,3
1746,1,3
1749,1,3
1751,1,3
1757,1,3
1759,1,3
1763,3,3
1769,1,3
1770,1,3
1774,1,3
1781,1,3
1782,1,3
1785,1,3
1790,1,3
1791,1,3
1794,1,3
1795,1,3
1797,1,3
1798,1,3
1799,5,3
1804,3,3
1805,5,3
1806,1,3
1807,1,3
1808,1,3
1809,1,3
1812,2,3
1813,1,3
1814,1,3
1816,5,3
1817,1,3
1823,2,3
1824,2,3
1825,1,3
1826,1,3
1827,2,3
1829,2,3
1830,53179,3
1831,1,3
1833,7,3
1834,1,3
1837,1,3
1838,2,3
1839,1,3
1841,3,3
1842,2,3
1843,1,3
1844,2,3
1845,1,3
1846,1,3
1847,1,3
1848,5,3
1850,2,3
1851,3,3
1852,1,3
1853,1,3
1854,3,3
1855,1,3
1856,2,3
1857,1,3
1858,1,3
1859,1,3
1860,2,3
1861,1,3
1862,1,3
1863,1,3
1865,2,3
1866,6,3
1867,5,3
1868,1,3
1871,5,3
1874,1,3
1875,1,3
1876,1,3
1878,1,3
1879,5,3
1880,1,3
1881,1,3
1882,1,3
1886,1,3
1887,1,3
1888,1,3
1889,1,3
1890,1,3
1891,3,3
1894,5,3
1896,3,3
1898,5,3
1899,2,3
1904,1,3
1905,1,3
1906,1,3
1909,1,3
1910,1,3
1911,1,3
1912,1,3
1913,2,3
1914,1,3
1915,1,3
1917,3,3
1919,3,3
1920,1,3
1923,3,3
1924,1,3
1925,2,3
1927,1,3
1928,1,3
1929,1,3
1930,5,3
1931,1,3
1932,1,3
1934,1,3
1935,4,3
1936,5,3
1937,5,3
1941,1,3
1942,2,3
1946,1,3
1948,5,3
1949,1,3
1950,1,3
1951,3,3
1952,5,3
1954,4,3
1955,1,3
1956,1,3
1957,1,3
1958,298,3
1959,4,3
1960,4,3
1961,5,3
