userPlantName,cleanedPlantName,sciName,genus,Family,itis_id,rank,notes,isConifer,compoundLeaves,longLeafThreshold
Maple,Maple,Acer,Acer,Sapindaceae,28727,genus,,0,NA,NA
Trident maple,Trident maple,Acer buergerianum,Acer,Sapindaceae,837859,species,,0,NA,NA
Hedge maple,Hedge maple,Acer campestre,Acer,Sapindaceae,28739,species,,0,NA,NA
Florida maple,Florida maple,Acer floridanum,Acer,Sapindaceae,183691,species,,0,NA,NA
Amur maple,Amur maple,Acer ginnala,Acer,Sapindaceae,28741,species,,0,NA,NA
Chalk maple,Chalk maple,Acer leucoderme,Acer,Sapindaceae,28761,species,,0,NA,NA
Bigleaf maple,Bigleaf maple,Acer macrophyllum,Acer,Sapindaceae,28748,species,,0,NA,NA
Acer negundo,Acer negundo,Acer negundo,Acer,Sapindaceae,28749,species,,0,1,NA
Boxelder,Boxelder,Acer negundo,Acer,Sapindaceae,28749,species,,0,1,NA
Black maple,Black maple,Acer nigrum,Acer,Sapindaceae,182135,species,,0,NA,NA
Japanese maple,Japanese maple,Acer palmatum,Acer,Sapindaceae,182136,species,,0,NA,NA
Striped maple,Striped maple,Acer pensylvanicum,Acer,Sapindaceae,28754,species,,0,NA,NA
Norway maple,Norway maple,Acer platanoides,Acer,Sapindaceae,28755,species,,0,NA,NA
Red maple,Red maple,Acer rubrum,Acer,Sapindaceae,28728,species,,0,NA,NA
Silver maple,Silver maple,Acer saccharinum,Acer,Sapindaceae,28757,species,,0,NA,NA
Sugar maple,Sugar maple,Acer saccharum,Acer,Sapindaceae,28731,species,,0,NA,NA
Acer x freemanii,Acer x freemanii,Acer X freemanii,Acer,Sapindaceae,500949,species,,0,NA,NA
Horned maple,Horned maple,Acer diabolicum,Acer,Sapindaceae,837851,species,,0,NA,NA
Southern sugar maple,Southern sugar maple,Acer saccharum,Acer,Sapindaceae,28731,species,,0,NA,NA
Buckeye,Buckeye,Aesculus,Aesculus,Sapindaceae,28714,genus,,0,1,NA
Ohio buckeye,Ohio buckeye,Aesculus glabra,Aesculus,Sapindaceae,28718,species,,0,1,NA
Aesculus hippocastanum,Aesculus hippocastanum,Aesculus hippocastanum,Aesculus,Sapindaceae,28721,species,,0,1,NA
Aesculus parviflora,Aesculus parviflora,Aesculus parviflora,Aesculus,Sapindaceae,28722,species,,0,1,NA
Bottlebrush buckeye,Bottlebrush buckeye,Aesculus parviflora,Aesculus,Sapindaceae,28722,species,,0,1,NA
Red buckeye,Red buckeye,Aesculus pavia,Aesculus,Sapindaceae,28723,species,,0,1,NA
Yellow buckeye,Yellow buckeye,Aesculus flava,Aesculus,Sapindaceae,837871,species,,0,1,NA
Ailanthus,Ailanthus,Ailanthus,Ailanthus,Simaroubaceae,28826,genus,,0,1,NA
Alder,Alder,Alnus,Alnus,Betulaceae,19466,genus,,0,NA,NA
Hazel alder,Hazel alder,Alnus serrulata,Alnus,Betulaceae,19468,species,,0,NA,NA
Speckled alder,Speckled alder,Alnus incana,Alnus,Betulaceae,19471,species,,0,NA,NA
Serviceberry,Serviceberry,Amelanchier,Amelanchier,Rosaceae,25108,genus,,0,NA,NA
Common serviceberry,Common serviceberry,Amelanchier arborea,Amelanchier,Rosaceae,25110,species,,0,NA,NA
Amelanchier laevis,Amelanchier laevis,Amelanchier laevis,Amelanchier,Rosaceae,182046,species,,0,NA,NA
Pacific madrone,Pacific madrone,Arbutus menziesii,Arbutus,Ericaceae,23627,species,,0,NA,NA
Dwarf pawpaw,Dwarf pawpaw,Asimina pygmea,Asimina,Annonaceae,18114,species,,0,NA,40
Pawpaw,Pawpaw,Asimina triloba,Asimina,Annonaceae,18117,species,,0,NA,40
Baccharis halimifolia,Baccharis halimifolia,Baccharis halimifolia,Baccharis,Asteraceae,35682,species,,0,NA,NA
Birch,Birch,Betula,Betula,Betulaceae,19478,genus,,0,NA,NA
Betula spp.,Betula,Betula,Betula,Betulaceae,19478,genus,,0,NA,NA
Yellow birch,Yellow birch,Betula alleghaniensis,Betula,Betulaceae,19481,species,,0,NA,NA
Black birch,Black birch,Betula lenta,Betula,Betulaceae,19487,species,,0,NA,NA
Sweet birch,Sweet birch,Betula lenta,Betula,Betulaceae,19487,species,,0,NA,NA
White birch,White birch,Betula minor,Betula,Betulaceae,183534,species,,0,NA,NA
River birch,River birch,Betula nigra,Betula,Betulaceae,19480,species,,0,NA,NA
Paper birch,Paper birch,Betula papyrifera,Betula,Betulaceae,19489,species,,0,NA,NA
Gray birch,Gray birch,Betula populifolia,Betula,Betulaceae,19497,species,,0,NA,NA
Heartleaf birch,Heartleaf birch,Betula cordifolia,Betula,Betulaceae,195222,species,,0,NA,NA
Buxus,Buxus,Buxus,Buxus,Buxaceae,28022,genus,,0,NA,NA
